INIT;STARTED;2022-10-09_17:03:12.384;
2022-10-09_17:04:34.565;47.20252725336172;18.390850572427972;
2022-10-09_17:04:35.572;47.20259102569586;18.390778439374138;
2022-10-09_17:04:36.569;47.20265660516589;18.390704231990743;
2022-10-09_17:04:37.569;47.202726935114384;18.390624525059266;
2022-10-09_17:04:38.565;47.20279803191767;18.39054157541916;
2022-10-09_17:04:39.572;47.20286980647798;18.390457013951327;
2022-10-09_17:04:40.566;47.202945028486376;18.390366210511004;
2022-10-09_17:04:41.570;47.203024248978934;18.39027168329969;
2022-10-09_17:04:42.568;47.20310271643482;18.390181502708398;
2022-10-09_17:04:43.559;47.20318104029846;18.390091616876425;
2022-10-09_17:04:44.568;47.20326242602045;18.389999625066;
2022-10-09_17:04:45.564;47.20334668616088;18.389905982592193;
2022-10-09_17:04:46.565;47.20342731546132;18.389812444361784;
2022-10-09_17:04:47.564;47.203511734246675;18.389711275810374;
2022-10-09_17:04:48.565;47.20359424179175;18.3896096759552;
2022-10-09_17:04:49.572;47.20367376349707;18.389508234119578;
2022-10-09_17:04:50.563;47.20375481161152;18.38940457269527;
2022-10-09_17:04:51.568;47.203829444833296;18.389304835402104;
2022-10-09_17:04:52.568;47.20389600234368;18.389205828129704;
2022-10-09_17:04:53.573;47.203960144339234;18.38910648848877;
2022-10-09_17:04:54.572;47.2040198419216;18.389011016619424;
2022-10-09_17:04:55.562;47.20407791093021;18.388915753105486;
2022-10-09_17:04:56.567;47.2041314186117;18.388823500087103;
2022-10-09_17:04:57.572;47.2041811857873;18.388734678272705;
2022-10-09_17:04:58.562;47.204230176372846;18.38864188554801;
2022-10-09_17:04:59.563;47.2042792876623;18.388554873230152;
2022-10-09_17:05:00.564;47.20431323543983;18.388489251351405;
2022-10-09_17:05:01.571;47.20434228262037;18.388434655913564;
2022-10-09_17:05:02.563;47.204366421188325;18.388390459997158;
2022-10-09_17:05:03.574;47.20438158739488;18.388363619123563;
2022-10-09_17:05:04.566;47.2043947119982;18.388345213119496;
2022-10-09_17:05:05.570;47.2043947119982;18.388345213119496;
2022-10-09_17:05:06.568;47.2043947119982;18.388345213119496;
